tank.ID,date,night ,night.type,sex,time.tending,mouthing,vig.mouthing,fanning,vig.fanning,anemone.bite
A2:1,4/11/2019,7,No Hatch,M,12.88375,2,0,135,36,0
A2:1,4/11/2019,7,No Hatch,F,14.33773333,0,0,0,0,1
A2:3,5/24/2019,7,No Hatch,M,14.47021667,14,0,234,2,0
A2:3,5/24/2019,7,No Hatch,F,14.80815,1,0,8,0,0
B1:2,4/16/2019,7,No Hatch,M,14.98516667,1,0,126,1,0
B1:2,4/16/2019,7,No Hatch,F,0,0,0,0,0,0
B1:5,4/7/2019,7,No Hatch,M,14.98575,16,0,37,8,0
B1:5,4/7/2019,7,No Hatch,F,14.9537,8,0,164,6,0
B3:2,5/23/2019,7,No Hatch,M,14.98798333,10,0,344,15,0
B3:2,5/23/2019,7,No Hatch,F,0,0,0,0,0,0
B3:4,4/21/2019,7,No Hatch,M,9.644783333,24,0,149,9,0
B3:4,4/21/2019,7,No Hatch,F,4.9929,0,0,59,2,0
C1:4,5/5/2019,7,No Hatch,M,11.89716667,14,0,130,4,0
C1:4,5/5/2019,7,No Hatch,F,5.871183333,16,0,32,3,0
C2:2,4/23/2019,7,No Hatch,M,8.066,2,0,92,2,0
C2:2,4/23/2019,7,No Hatch,F,1.6959,0,0,6,12,0
C2:3,4/13/2019,7,No Hatch,M,8.408216667,4,0,54,0,0
C2:3,4/13/2019,7,No Hatch,F,1.495416667,0,0,7,0,0
C2:4,5/1/2019,7,No Hatch,M,10.74486667,1,0,34,6,0
C2:4,5/1/2019,7,No Hatch,F,3.22885,0,0,11,16,0
C3:4,4/20/2019,7,No Hatch,M,11.6701,12,0,182,9,0
C3:4,4/20/2019,7,No Hatch,F,0,0,0,0,0,0
D1:3,5/15/2019,7,No Hatch,M,13.57708333,1,0,83,12,0
D1:3,5/15/2019,7,No Hatch,F,9.142466667,0,0,25,2,0
D2:2,4/30/2019,7,No Hatch,M,14.9873,50,0,86,1,0
D2:2,4/30/2019,7,No Hatch,F,14.6196,0,0,0,0,0
D3:1,5/17/2019,7,No Hatch,F,0.45815,0,0,6,0,0
D3:3,4/29/2019,7,No Hatch,M,14.79108333,11,0,90,13,0
D3:3,4/29/2019,7,No Hatch,F,0,0,0,0,0,0
B2:2,3/5/2020,9,Hatch,M,14.99285,6,0,81,4,48
B2:2,3/5/2020,9,Hatch,F,14.89095,11,0,21,9,79
B3:4,2/27/2020,9,Hatch,M,14.53178333,46,3,72,46,32
B3:4,2/27/2020,9,Hatch,F,8.839266667,51,33,14,0,0
C2:4,3/5/2020,9,Hatch,M,13.97726667,26,4,77,73,37
C2:4,3/5/2020,9,Hatch,F,0.630766667,0,0,1,0,0
A2:3,8/17/2020,9,Hatch,M,14.51568333,45,2,39,4,1
A2:3,8/17/2020,9,Hatch,F,14.31333333,52,7,10,4,138
A3:1,10/17/2020,8,Hatch,M,14.15648333,44,5,89,1,0
A3:1,10/17/2020,8,Hatch,F,14.39511667,0,0,41,13,3
A3:5,8/14/2020,9,Hatch,M,14.81986667,11,0,79,11,23
A3:5,8/14/2020,9,Hatch,F,14.61416667,18,0,71,1,25
C2:5,9/2/2020,9,Hatch,M,10.82581667,45,7,54,12,27
C2:5,9/2/2020,9,Hatch,F,13.29648333,19,0,41,25,24
D2:5,9/5/2020,9,Hatch,M,8.5901,15,0,46,1,15
D2:5,9/5/2020,9,Hatch,F,14.2737,14,0,74,2,100
D3:3 ,10/19/2020,9,Hatch,M,14.7645,107,31,67,4,15
D3:3 ,10/19/2020,9,Hatch,F,2.728333333,7,0,18,1,0
C2:3,1/31/2021,10,Hatch,M,13.78078333,4,0,101,28,12
C2:3,1/31/2021,10,Hatch,F,6.3448,4,0,7,1,23
D1:2,4/8/2019,7,Hatch,M,14.97041667,26,8,67,13,85
D1:2,4/8/2019,7,Hatch,F,14.82078333,0,0,36,11,139
A2:2,1/9/2021,9,Hatch,M,14.47441667,6,0,64,6,28
A2:2,1/9/2021,9,Hatch,F,14.22135,15,0,47,20,149
A1:4,1/10/2021,9,Hatch,M,13.36916667,14,0,104,12,84
A1:4,1/10/2021,9,Hatch,F,3.4013,3,0,16,2,11
B2:5,1/13/2021,9,Hatch,M,14.44566667,8,0,83,14,12
B2:5,1/13/2021,9,Hatch,F,12.96355,13,0,40,4,97
D1:1,5/10/2019,7,Hatch,M,11.06025,17,4,70,1,6
D1:1,5/10/2019,7,Hatch,F,14.79905,21,8,45,0,55
